species,run,tau_csv,spike_csv
Cordyceps_militari,2025-08-19T00:20:53,,
Cordyceps_militari,2025-08-19T00:30:11,,
Cordyceps_militari,2025-08-19T11:39:15,,
Cordyceps_militari,2025-08-20T21:37:21,,
Cordyceps_militari,2025-08-20T21:43:19,,
Cordyceps_militari,2025-08-20T22:00:48,/home/kronos/mushroooom/results/zenodo/Cordyceps_militari/2025-08-20T22:00:48/tau_band_timeseries.csv,/home/kronos/mushroooom/results/zenodo/Cordyceps_militari/2025-08-20T22:00:48/spike_times_s.csv
Enoki_fungi_Flammulina_velutipes,2025-08-19T00:18:48,,
Enoki_fungi_Flammulina_velutipes,2025-08-19T00:28:25,,
Enoki_fungi_Flammulina_velutipes,2025-08-19T11:38:33,,
Enoki_fungi_Flammulina_velutipes,2025-08-20T21:35:18,,
Enoki_fungi_Flammulina_velutipes,2025-08-20T21:41:36,,
Enoki_fungi_Flammulina_velutipes,2025-08-20T21:58:47,/home/kronos/mushroooom/results/zenodo/Enoki_fungi_Flammulina_velutipes/2025-08-20T21:58:47/tau_band_timeseries.csv,/home/kronos/mushroooom/results/zenodo/Enoki_fungi_Flammulina_velutipes/2025-08-20T21:58:47/spike_times_s.csv
Ghost_Fungi_Omphalotus_nidiformis,2025-08-19T00:26:58,,
Ghost_Fungi_Omphalotus_nidiformis,2025-08-19T11:40:12,,
Ghost_Fungi_Omphalotus_nidiformis,2025-08-20T21:36:22,,
Schizophyllum_commune,2025-08-19T00:14:15,,
Schizophyllum_commune,2025-08-19T00:28:04,,
Schizophyllum_commune,2025-08-19T11:38:02,,
Schizophyllum_commune,2025-08-20T21:33:51,,
Schizophyllum_commune,2025-08-20T21:34:50,,
Schizophyllum_commune,2025-08-20T21:39:49,,
Schizophyllum_commune,2025-08-20T21:41:09,,
Schizophyllum_commune,2025-08-20T21:58:16,/home/kronos/mushroooom/results/zenodo/Schizophyllum_commune/2025-08-20T21:58:16/tau_band_timeseries.csv,/home/kronos/mushroooom/results/zenodo/Schizophyllum_commune/2025-08-20T21:58:16/spike_times_s.csv
