# file: data/zenodo_5790768/Ghost Fungi Omphalotus nidiformis.txt
# species: Ghost_Fungi_Omphalotus_nidiformis
# channel: diff_1
# timestamp: 2025-08-22T00:59:11
# fs_hz: 1.0
# taus: 5.5,24.5,104.0
time_s,tau_5.5,tau_24.5,tau_104,tau_5.5_norm,tau_24.5_norm,tau_104_norm
0.0,9.514965519356757,2420.383993266274,39746.94982449556,0.00022559688060736456,0.057386553597283174,0.9423878495221094
12810.328125,54030.132232771335,75869.86848630861,361191.4601195795,0.11002050848227253,0.1544923390782282,0.7354871524394992
51241.3125,690546.2018539777,734068.9740455223,3537954.529306563,0.13915093245532636,0.14792114119332883,0.7129279263513448
115292.953125,17139493.228979163,16442135.132113846,15720185.561338885,0.3476442723982787,0.3334995981685943,0.31885612943312697
204965.25,28761529.7735945,29059444.92752544,28501098.671552084,0.3331885883860138,0.33663979318556453,0.3301716184284217
320258.203125,25387783.09543172,26646957.529776175,29904294.867285024,0.3098374656577169,0.3252046764965584,0.36495785784572476
461171.8125,19910731.61484463,20787457.941320483,23947020.067822404,0.30800010906695974,0.3215622327196693,0.37043765821337094
627706.078125,12304566.998260317,13659991.010689091,17115724.787241437,0.28561945743188777,0.31708220383123636,0.39729833873687587
819861.0,9515704.41421418,10241348.067199709,12516833.892086089,0.294842223340896,0.3173261487221712,0.38783162793693277
1037636.578125,9644452.120282868,9184845.009447474,10329026.224672876,0.33076154630223115,0.3149990792615469,0.3542393744362219
1281032.8125,6734080.985280494,7188590.869103561,8720673.067303138,0.29739780092431356,0.3174703602301496,0.38513183884553687
1550049.703125,6131430.046617502,6695143.779566149,10657365.731631562,0.2610903520477264,0.2850945755112061,0.4538150724410675
1844687.25,13576827.593971122,19316012.50060976,18263240.596119385,0.2654000738653005,0.3775897652792866,0.35701016085541293
2164945.453125,10285447.19765482,10012252.722460257,15480984.698809935,0.28747415695138123,0.2798384800643093,0.43268736298430943
2510824.3125,9767830.231380133,10134692.94731232,10771532.942505531,0.3184394718711445,0.3303995046259473,0.35116102350290823
2882323.828125,6454771.336856672,5856458.336138728,8134506.473926704,0.31570256460677115,0.2864391036866803,0.39785833170654855
