time_s,tau_5.5,tau_24.5,tau_104,tau_5.5_norm,tau_24.5_norm,tau_104_norm
0.0,8808.472412254867,78347.25331193749,830130.175159552,0.009602755698924933,0.08541203264593415,0.9049852116551409
257.31640625,30907.212037103658,152819.4126877747,947450.6559640369,0.027323048795923826,0.1350976679753538,0.8375792832287222
1029.265625,374767.82477012376,253929.2271858592,1074769.8546118354,0.22000299702047865,0.14906613460280319,0.6309308683767181
2315.84765625,478402.6170024749,356452.22227956675,1209012.1029759191,0.2340673979852915,0.17440089416279533,0.5915317078519131
4117.0625,188078.39544473405,585364.135661657,1345412.9017228042,0.0887641471573183,0.2762643107180046,0.6349715421246771
6432.910156250001,1001406.3674909147,1257073.0563403333,1477482.9469955426,0.2680450893485037,0.3364790465119529,0.39547586413954355
9263.390625,2530294.123616145,2210868.8215213204,1597330.6743905263,0.39919486797630765,0.3488003545053591,0.2520047775183332
12608.503906249998,3653755.7241066275,2571658.681001613,1696472.55837582,0.46122290572291874,0.32462703556055195,0.21415005871652937
16468.25,1431725.1538865797,2048006.1498425296,1767171.1598996562,0.27287054863535554,0.39032670495386446,0.33680274641078006
20842.628906250004,874164.4001525948,1591438.369497548,1804181.2577971178,0.20473269714187955,0.37272104613895607,0.42254625671916435
25731.640625000004,913263.7421465724,1930673.4536075867,1806594.0054089888,0.19637837112417508,0.4151511666290303,0.3884704622467945
31135.28515625,3279780.05118476,2473285.587281225,1779323.0120351042,0.4354236356307204,0.3283534217418123,0.23622294262746724
37053.5625,2472927.996595594,2324848.0666885814,1733749.9303573268,0.37861412463228517,0.3559425575205306,0.26544331784718417
43486.47265625001,1580330.6628849285,1630106.6201767416,1687172.6830678512,0.32267384986024744,0.33283716577067096,0.3444889843690817
50434.01562499999,322364.9034135609,1137126.946622376,1660948.5901936202,0.10330750084428654,0.3644123220434621,0.5322801771122513
57896.19140625,811567.5515739996,1230956.1156418948,1677529.1675163028,0.2181602218110495,0.33089748192528295,0.45094229626366755
65873.0,3259988.6291582375,1298490.1126951417,1756869.1783686741,0.5162009552505562,0.20560864248465438,0.2781904022647894
74364.44140625,110247.90368527923,896777.7695460778,1912897.3700226299,0.0377571264900249,0.30712376876436476,0.6551191047456103
83370.51562500001,145198.89828492058,881139.798397315,2150808.4656281285,0.04570103015918676,0.2773367909582652,0.676962178882548
92891.22265625001,2072123.3068628751,1634239.4693812842,2465833.9607865685,0.33571893365468386,0.2647743646239428,0.3995067017213733
102926.56250000001,1668936.9877823966,2529558.312402902,2843858.226493393,0.2369856868815132,0.35919217954908467,0.40382213356940216
113476.53515624999,2944382.1217621407,3430357.585282883,3263806.2737308387,0.30547990616372306,0.3558999035876108,0.3386201902486661
124541.140625,4071602.7034390112,4429245.117136641,3701253.5694764815,0.3336804516932157,0.36299035514879596,0.30332919315798834
136120.37890625,5854834.577236252,5049561.883345344,4132364.3935973407,0.38936807162222753,0.3358144704377603,0.2748174579400121
148214.25,4523806.148198301,4904657.122589603,4537205.656636801,0.32392334171081477,0.3511938560249137,0.32488280226427146
160822.75390625,5227829.071228469,4321275.198993742,4901750.083223458,0.3617660896279079,0.2990325065426581,0.339201403829434
173945.89062500003,2836476.8812923366,3967521.4381431295,5218360.615354645,0.23593347168201614,0.330011893644431,0.43405463467355276
187583.66015625003,3540809.6155797057,4503981.748959114,5485019.107455751,0.2617043027253668,0.33289318858397393,0.4054025086906592
201736.06249999997,4004836.018968252,5900415.546235781,5703837.322825544,0.256570774098129,0.37801152831929474,0.36541769758257625
216403.09765625,8840940.555461261,6899680.306478865,5879408.269452527,0.4089236190077128,0.3191337192261416,0.2719426617661456
231584.765625,5882059.189981306,6604666.729761985,6017394.302451548,0.31787834921900515,0.35692951896410574,0.32519213181688916
247281.06640625,4002994.6704072338,5801970.064651435,6123531.341125845,0.251310271306298,0.36425096486831854,0.3844387638253834
